word,correct_count,error_count,last_reviewed,weight,meaning
thank,6,2,2026-03-22,2.8672000000000004,感謝
improve,7,4,2026-03-22,6.5011712000000035,改善
continue,7,2,2026-03-22,1.4680064000000002,繼續
food,7,1,2026-03-22,1.0,食物
demonstrate,6,3,2026-03-22,3.932160000000002,示範
yes,5,1,2026-03-22,1.2288000000000006,是
please,5,1,2026-03-22,1.2288000000000006,請
implement,5,0,2026-03-22,1.0,實施
believe,2,0,2026-03-22,1.0,相信
happy,2,0,2026-03-22,1.0,快樂的
small,1,0,2026-03-22,1.0,小的
read,2,0,2026-03-22,1.0,閱讀
write,3,1,2026-03-22,1.5360000000000005,寫
free,2,0,2026-03-22,1.0,有空
run,2,1,2026-03-22,1.9200000000000004,跑
short,1,0,2026-03-22,1.0,短的
good,1,0,2026-03-22,1.0,好的
hello,1,1,2026-03-22,2.4000000000000004,你好
want,1,0,2026-03-22,1.0,想要
eat,1,0,2026-03-22,1.0,吃
angry,2,0,2026-03-22,1.0,生氣的
ready,2,0,2026-03-22,1.0,準備好了
drink,2,0,2026-03-22,1.0,喝
sleep,1,0,2026-03-22,1.0,睡覺
beautiful,2,0,2026-03-22,1.0,美麗的
difficult,1,0,2026-03-22,1.0,困難的
people,1,0,2026-03-22,1.0,人們
sad,1,0,2026-03-22,1.0,悲傷的
home,1,0,2026-03-22,1.0,家
busy,1,0,2026-03-22,1.0,忙碌的
evaluate,1,0,2026-03-22,1.0,評估
appreciate,1,0,2026-03-22,1.0,欣賞
stop,1,0,2026-03-22,1.0,停止
hope,1,0,2026-03-22,1.0,希望
emphasize,1,0,2026-03-22,1.0,強調
finish,2,0,2026-03-22,1.0,完成
know,2,0,2026-03-22,1.0,知道
understand,2,0,2026-03-22,1.0,理解
analyze,2,0,2026-03-22,1.0,分析
start,2,0,2026-03-22,1.0,開始
try,1,0,2026-03-22,1.0,嘗試
dream,1,0,2026-03-22,1.0,夢想
establish,2,0,2026-03-22,1.0,建立
success,1,0,2026-03-22,1.0,成功
decide,2,0,2026-03-22,1.0,決定
change,1,0,2026-03-22,1.0,改變
speak,1,0,2026-03-22,1.0,說
create,1,0,2026-03-22,1.0,創造
fail,1,0,2026-03-22,1.0,失敗
watch,1,0,2026-03-22,1.0,看
resilient,1,0,2026-03-22,1.0,有韌性的
ubiquitous,1,2,2026-03-22,5.6000000000000005,無處不在
think,1,0,2026-03-22,1.0,思考
forget,1,0,2026-03-22,1.0,忘記
remember,1,0,2026-03-22,1.0,記得
achieve,2,0,2026-03-22,1.0,達成
listen,2,0,2026-03-22,1.0,聽
distinguish,1,0,2026-03-22,1.0,區分
learn,1,0,2026-03-22,1.0,學習
comprehend,2,0,2026-03-22,1.0,理解
illustrate,1,0,2026-03-22,1.0,說明
eloquent,1,0,2026-03-22,1.0,雄辯的
teach,1,0,2026-03-22,1.0,教導
destroy,1,0,2026-03-22,1.0,破壞
love,1,0,2026-03-22,1.0,愛
world,1,0,2026-03-22,1.0,世界
family,1,0,2026-03-22,1.0,家庭
work,1,0,2026-03-22,1.0,工作
money,1,0,2026-03-22,1.0,錢
school,1,0,2026-03-22,1.0,學校
build,1,0,2026-03-22,1.0,建造
big,1,0,2026-03-22,1.0,大的
study,1,0,2026-03-22,1.0,研讀
time,2,0,2026-03-22,1.0,時間
old,1,0,2026-03-22,1.0,舊的
water,1,0,2026-03-22,1.0,水
different,1,0,2026-03-22,1.0,不同的
tired,1,0,2026-03-22,1.0,疲倦的
hot,2,0,2026-03-22,1.0,熱的
pragmatic,1,0,2026-03-22,1.0,務實的
house,1,0,2026-03-22,1.0,房子
important,1,0,2026-03-22,1.0,重要的
ambiguous,1,0,2026-03-22,1.0,模糊的
new,1,0,2026-03-22,1.0,新的
cold,1,0,2026-03-22,1.0,冷的
long,1,0,2026-03-22,1.0,長的
easy,1,0,2026-03-22,1.0,簡單的
knowledgestorm,0,1,2026-03-23,3.0,
separated,1,0,2026-03-23,1.0,
christians,0,1,2026-03-23,3.0,
limousines,0,1,2026-03-23,3.0,
diplomatic,1,0,2026-03-23,1.0,connected with managing relations between countries (= diplomacy)
clarke,0,1,2026-03-23,3.0,
minimum,1,0,2026-03-23,1.0,the smallest that is possible or allowed; extremely small
intriguing,0,1,2026-03-23,3.0,very interesting because of being unusual or not having an obvious answer
butler,0,1,2026-03-23,3.0,
xerox,0,1,2026-03-23,3.0,
deck,0,1,2026-03-23,3.0,the top outside floor of a ship or boat
comic,1,0,2026-03-23,1.0,幽默，讓你開懷大笑
temporary,1,0,2026-03-23,1.0,臨時的
sun,1,0,2026-03-23,1.0,太陽
anchor,1,0,2026-03-23,1.0,附在繩索或鏈條上的重金屬物體，落在si上
doubt,1,0,2026-03-23,1.0,懷疑
weekend,1,0,2026-03-23,1.0,週末
clerk,1,0,2026-03-23,1.0,工作是在商店裡為顧客提供服務的人
stay,1,0,2026-03-23,1.0,停留
quest,1,0,2026-03-23,1.0,探索
sphere,1,0,2026-03-23,1.0,球體
it,1,0,2026-03-23,1.0,它
skating,1,0,2026-03-23,1.0,溜冰
plugin,1,0,2026-03-23,1.0,外掛
relevance,1,0,2026-03-23,1.0,與您正在討論的主題或您所處的情況密切相關
invitations,1,0,2026-03-23,1.0,邀請函
institute,1,0,2026-03-23,1.0,具有特定目的的組織，特別是與教育或
outer,1,0,2026-03-23,1.0,外部的
col,1,0,2026-03-23,1.0,坳
contracting,1,0,2026-03-23,1.0,承包
utc,1,0,2026-03-23,1.0,世界標準時間
reside,1,0,2026-03-23,1.0,住在一個特定的地方
religions,1,0,2026-03-23,1.0,宗教
briefly,1,0,2026-03-23,1.0,簡要地
we,1,0,2026-03-23,1.0,我們
obsess,1,0,2026-03-23,1.0,以一種不合理的方式完全填滿你的大腦，這樣你就無法思考其他任何事情
origins,1,0,2026-03-23,1.0,起源
accumulation,1,0,2026-03-23,1.0,逐漸增加或獲得越來越多東西的過程
implementing,1,0,2026-03-23,1.0,實施
properties,1,0,2026-03-23,1.0,特性
visibility,1,0,2026-03-23,1.0,可見度
reference,1,0,2026-03-23,1,參考
